,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Germany,Spain,Exited,Tahmin,date0,date,Year1,Month1,Day1
0,596,1,32,3,96709.07,2,0,0,41788.37,1,0,0,0,2011-07-01,2022-01-03,2022,01,03
1,623,1,43,1,0.0,2,1,1,146379.3,0,0,0,0,2018-06-13,2022-01-03,2022,01,03
2,601,0,44,4,0.0,2,1,0,58561.31,0,1,0,0,2012-10-04,2022-01-03,2022,01,03
3,506,1,59,8,119152.1,2,1,1,170679.74,1,0,0,1,2018-07-31,2022-01-03,2022,01,03
4,560,0,27,7,124995.98,1,1,1,114669.79,0,1,0,0,2011-07-06,2022-01-04,2022,01,04
5,790,1,37,8,0.0,2,1,1,149418.41,0,1,0,0,2016-09-07,2022-01-04,2022,01,04
6,439,0,32,3,138901.61,1,1,0,75685.97,0,1,0,0,2018-02-21,2022-01-04,2022,01,04
7,597,0,22,6,101528.61,1,1,0,70529.0,1,0,1,0,2018-01-23,2022-01-04,2022,01,04
8,678,0,40,4,113794.22,1,1,0,16618.76,0,1,0,0,2014-07-24,2022-01-04,2022,01,04
9,464,0,42,3,85679.25,1,1,1,164104.74,1,0,0,0,2015-06-23,2022-01-04,2022,01,04
10,481,0,57,9,0.0,3,1,1,169719.35,0,0,1,0,2015-11-23,2022-01-04,2022,01,04
11,651,0,56,4,0.0,1,0,0,84383.22,0,0,1,0,2011-09-09,2022-01-04,2022,01,04
12,850,1,47,6,0.0,1,1,0,187391.02,0,0,1,0,2018-12-04,2022-01-05,2022,01,05
13,687,0,41,2,154007.21,1,1,0,158408.23,1,0,0,0,2013-06-07,2022-01-05,2022,01,05
14,696,1,19,1,110928.51,1,1,1,2766.63,0,0,0,0,2018-11-09,2022-01-05,2022,01,05
15,612,0,36,5,119799.27,2,1,0,159416.58,0,1,0,0,2010-05-06,2022-01-05,2022,01,05
16,586,0,57,3,0.0,2,0,1,6057.81,0,1,0,0,2014-06-02,2022-01-05,2022,01,05
17,425,1,40,9,166776.6,2,0,1,172646.88,1,0,0,0,2011-07-04,2022-01-05,2022,01,05
18,643,1,43,1,0.0,2,1,1,145764.4,0,1,0,0,2018-09-03,2022-01-05,2022,01,05
19,641,0,37,2,0.0,2,1,0,3939.87,0,0,0,0,2016-11-10,2022-01-05,2022,01,05
20,795,0,40,2,101891.1,1,1,1,183044.86,0,0,0,0,2014-05-07,2022-01-05,2022,01,05
21,762,1,35,9,0.0,2,1,1,43075.7,0,0,0,0,2013-08-13,2022-01-06,2022,01,06
22,687,0,44,9,0.0,2,0,0,103042.2,0,0,1,0,2014-10-01,2022-01-06,2022,01,06
23,850,1,37,4,88141.1,1,1,0,109659.12,0,1,0,0,2012-04-20,2022-01-06,2022,01,06
24,753,0,62,6,0.0,2,1,1,136398.9,0,0,0,0,2013-07-26,2022-01-06,2022,01,06
25,678,0,49,3,204510.94,1,0,1,738.88,0,0,1,0,2017-06-06,2022-01-06,2022,01,06
26,578,1,34,8,147487.23,2,1,0,66680.77,1,0,0,0,2016-01-05,2022-01-06,2022,01,06
27,825,1,29,3,148874.01,2,0,1,71192.82,0,0,0,0,2014-05-15,2022-01-07,2022,01,07
28,696,0,30,0,0.0,2,1,1,9002.8,0,1,0,0,2012-04-18,2022-01-07,2022,01,07
29,457,1,40,10,134320.23,2,1,0,150757.35,0,0,0,0,2016-05-03,2022-01-07,2022,01,07
30,680,0,30,8,141441.75,1,1,1,16278.97,0,0,0,0,2014-03-20,2022-01-07,2022,01,07
31,819,0,38,10,0.0,2,1,0,30498.7,0,0,0,0,2015-05-28,2022-01-10,2022,01,10
32,510,0,45,10,103821.47,2,0,1,77878.62,0,0,0,0,2010-05-24,2022-01-10,2022,01,10
33,567,1,36,1,0.0,2,0,0,8555.73,0,0,0,0,2017-03-20,2022-01-10,2022,01,10
34,638,1,34,5,146679.77,1,1,0,102179.86,0,1,0,0,2013-02-27,2022-01-10,2022,01,10
35,579,1,56,4,99340.83,1,0,0,4523.74,0,1,1,0,2017-06-14,2022-01-11,2022,01,11
36,715,0,37,9,105489.31,1,0,0,143096.49,1,0,1,0,2014-10-15,2022-01-11,2022,01,11
37,587,0,34,1,0.0,2,1,1,97932.68,0,1,0,0,2018-09-14,2022-01-11,2022,01,11
38,711,1,38,3,128718.78,1,0,0,114793.45,0,1,0,0,2012-08-28,2022-01-11,2022,01,11
39,741,0,36,3,0.0,2,1,1,89804.83,0,0,0,0,2018-08-27,2022-01-12,2022,01,12
40,688,1,38,7,148045.68,1,1,0,175479.92,0,0,1,0,2017-04-19,2022-01-12,2022,01,12
41,475,0,45,0,134264.04,1,1,0,27822.99,0,0,1,1,2014-04-21,2022-01-12,2022,01,12
42,567,1,36,7,0.0,2,0,1,3896.08,0,0,0,0,2012-06-26,2022-01-12,2022,01,12
43,440,1,42,2,0.0,2,1,0,49826.68,0,0,0,0,2015-02-24,2022-01-12,2022,01,12
44,741,1,42,6,106036.52,1,1,0,194686.78,0,0,1,0,2018-05-11,2022-01-13,2022,01,13
45,582,1,41,6,70349.48,2,0,1,178074.04,1,0,0,0,2017-05-15,2022-01-13,2022,01,13
46,613,1,26,4,100446.57,1,0,1,149653.81,0,0,0,0,2010-12-20,2022-01-13,2022,01,13
47,692,0,43,2,69014.49,2,0,0,164621.43,1,0,0,0,2016-06-22,2022-01-13,2022,01,13
48,521,1,38,5,110641.18,1,0,1,136507.69,0,0,1,0,2018-01-31,2022-01-13,2022,01,13
49,759,0,35,7,147936.42,1,1,1,106785.7,0,1,0,0,2012-04-19,2022-01-14,2022,01,14
50,715,1,42,2,88120.97,2,1,1,21333.22,1,0,0,0,2013-01-17,2022-01-14,2022,01,14
51,711,0,39,3,152462.79,1,1,0,90305.97,0,0,0,0,2012-06-15,2022-01-17,2022,01,17
52,554,0,44,6,92436.86,1,1,0,126033.9,0,0,0,0,2018-01-23,2022-01-17,2022,01,17
53,651,1,35,8,110067.71,1,1,0,127678.95,1,0,1,0,2017-11-10,2022-01-17,2022,01,17
54,495,0,45,3,89158.94,3,1,0,135169.76,0,1,1,0,2017-10-09,2022-01-17,2022,01,17
55,805,1,39,2,0.0,1,0,0,166650.32,0,0,0,0,2018-03-23,2022-01-17,2022,01,17
56,829,0,26,8,101440.36,2,1,1,19324.5,0,1,0,0,2011-01-13,2022-01-18,2022,01,18
57,583,0,40,4,55776.39,2,1,0,26920.43,0,0,0,0,2010-01-13,2022-01-18,2022,01,18
58,686,0,43,0,0.0,1,1,1,170072.9,0,0,0,0,2016-09-22,2022-01-18,2022,01,18
59,505,1,40,6,47869.69,2,1,1,155061.97,1,0,0,0,2017-10-05,2022-01-18,2022,01,18
60,528,1,30,2,128262.72,2,1,0,50771.16,0,0,0,0,2012-01-16,2022-01-18,2022,01,18
61,677,0,34,4,0.0,2,1,1,6175.53,0,1,0,0,2015-05-14,2022-01-18,2022,01,18
62,660,0,37,2,133200.09,1,0,0,71433.88,1,0,0,0,2010-12-03,2022-01-18,2022,01,18
63,785,0,36,2,99806.85,1,0,1,36976.52,1,0,0,0,2014-10-29,2022-01-19,2022,01,19
64,607,0,27,5,100912.19,1,0,0,7631.27,0,1,0,0,2014-12-15,2022-01-19,2022,01,19
65,603,0,39,5,162390.52,2,1,0,54702.66,0,1,0,0,2012-04-26,2022-01-19,2022,01,19
66,480,0,28,6,0.0,2,0,0,48131.92,0,0,0,0,2016-07-28,2022-01-19,2022,01,19
67,656,1,68,7,153545.11,1,1,1,186574.68,1,0,0,0,2018-10-24,2022-01-19,2022,01,19
68,631,1,48,1,106396.48,1,1,1,150661.42,1,0,1,0,2013-06-07,2022-01-19,2022,01,19
69,604,0,35,7,147285.52,1,1,1,57807.05,0,1,0,0,2018-02-08,2022-01-19,2022,01,19
70,622,1,32,5,179305.09,1,1,1,149043.78,0,0,0,0,2015-11-25,2022-01-19,2022,01,19
71,601,0,42,9,133636.16,1,0,1,103315.74,1,0,0,0,2016-09-29,2022-01-19,2022,01,19
72,674,1,46,2,174701.05,1,1,0,90189.72,0,0,1,0,2011-09-05,2022-01-20,2022,01,20
73,531,1,31,3,0.0,1,1,1,42589.33,0,0,0,0,2013-08-29,2022-01-20,2022,01,20
74,632,1,32,6,111589.33,1,1,1,170382.99,0,0,0,0,2010-07-28,2022-01-20,2022,01,20
75,707,0,46,7,127476.73,2,1,1,146011.55,0,0,0,0,2018-05-02,2022-01-20,2022,01,20
76,723,1,25,3,0.0,2,1,1,134509.47,0,0,0,0,2010-05-19,2022-01-20,2022,01,20
77,795,1,38,7,125903.22,2,1,1,127068.92,1,0,0,0,2011-03-30,2022-01-20,2022,01,20
78,585,1,45,0,0.0,2,0,0,189683.7,0,1,0,0,2011-04-28,2022-01-21,2022,01,21
79,627,0,30,6,57809.32,1,1,0,188258.49,1,0,0,0,2018-03-23,2022-01-21,2022,01,21
80,546,0,30,5,0.0,2,0,1,198543.09,0,0,0,0,2018-05-24,2022-01-21,2022,01,21
81,571,0,66,9,111577.01,1,0,1,189271.9,1,0,0,1,2012-03-29,2022-01-21,2022,01,21
82,684,1,42,1,117691.0,1,1,1,23135.65,1,0,1,0,2011-08-19,2022-01-21,2022,01,21
83,636,0,45,7,139859.23,1,1,1,108402.54,0,0,0,0,2016-07-22,2022-01-21,2022,01,21
84,562,1,48,3,92347.96,1,1,1,163116.75,0,0,0,0,2011-08-19,2022-01-21,2022,01,21
85,482,0,48,2,69329.47,1,0,0,102640.52,1,0,1,0,2013-12-17,2022-01-21,2022,01,21
86,786,0,62,8,0.0,1,1,1,165702.64,0,0,0,0,2017-01-19,2022-01-21,2022,01,21
87,747,0,45,1,114959.12,1,1,0,189362.39,0,0,1,0,2015-03-19,2022-01-24,2022,01,24
88,688,1,32,6,124179.3,1,1,1,138759.15,0,1,0,0,2016-04-18,2022-01-24,2022,01,24
89,699,1,29,3,125689.29,1,1,1,151623.71,0,0,0,0,2012-04-16,2022-01-24,2022,01,24
90,528,0,32,4,85615.66,2,1,0,156192.43,0,0,0,0,2014-02-11,2022-01-24,2022,01,24
91,542,0,42,1,0.0,1,1,1,178256.58,0,0,1,0,2010-09-17,2022-01-25,2022,01,25
92,773,0,50,4,0.0,2,1,0,129372.94,0,0,0,0,2015-11-05,2022-01-25,2022,01,25
93,675,1,33,3,0.0,2,1,0,45348.08,0,1,0,0,2016-11-24,2022-01-25,2022,01,25
94,652,1,51,7,0.0,2,0,1,43496.36,0,0,0,0,2016-04-12,2022-01-26,2022,01,26
95,638,1,27,4,135096.05,1,1,1,186523.72,1,0,1,0,2011-01-21,2022-01-26,2022,01,26
96,607,1,32,9,144272.07,2,1,0,176580.63,1,0,0,0,2014-09-10,2022-01-26,2022,01,26
97,594,0,23,4,104753.84,2,1,0,56756.52,1,0,1,0,2018-08-14,2022-01-26,2022,01,26
98,755,1,42,2,119919.12,1,1,0,156868.21,0,0,0,0,2017-12-29,2022-01-26,2022,01,26
99,555,1,40,10,139930.18,1,1,1,105720.09,0,0,0,0,2014-12-05,2022-01-26,2022,01,26
100,710,1,43,2,140080.32,3,1,1,157908.19,1,0,1,0,2015-11-10,2022-01-27,2022,01,27
101,823,0,53,4,124954.94,1,0,1,131259.6,1,0,1,0,2011-01-12,2022-01-27,2022,01,27
102,694,1,42,3,156864.2,2,0,0,88890.75,0,0,0,0,2013-08-07,2022-01-27,2022,01,27
103,584,1,47,5,0.0,2,1,0,89286.29,0,0,0,0,2010-11-22,2022-01-28,2022,01,28
104,740,1,33,1,129574.98,1,1,1,123300.38,0,0,0,0,2016-09-07,2022-01-28,2022,01,28
105,511,1,33,7,0.0,2,0,1,158313.87,0,0,0,0,2012-05-14,2022-01-28,2022,01,28
106,481,1,44,9,175303.06,1,1,0,65500.53,0,0,1,1,2018-12-20,2022-01-28,2022,01,28
107,488,0,36,0,0.0,2,1,0,136675.22,0,0,0,0,2013-07-03,2022-01-28,2022,01,28
108,718,1,33,7,102874.28,1,0,0,117841.06,0,0,0,0,2016-04-08,2022-01-31,2022,01,31
